No,lambda,mu,m,n,theta,T
1,9.9999999999999995e-08,1.0000000000000000e+00,1,65527,6.8921460816296836e+21,1.0065958191003044e+00
2,9.9999999999999995e-08,1.0000000000000000e+00,1,65528,4.5162165629094830e+19,1.0065959204238186e+00
3,9.9999999999999995e-08,1.0000000000000000e+00,1,65529,2.9593863893433254e+17,1.0065960217473533e+00
4,9.9999999999999995e-08,1.0000000000000000e+00,1,65530,1.9392563070727870e+15,1.0065961230709082e+00
5,9.9999999999999995e-08,1.0000000000000000e+00,1,65531,1.2707946580246973e+13,1.0065962243944837e+00
6,9.9999999999999995e-08,1.0000000000000000e+00,1,65532,8.3276444734016434e+10,1.0065963257180794e+00
7,9.9999999999999995e-08,1.0000000000000000e+00,1,65533,5.4572719663095653e+08,1.0065964270416958e+00
8,9.9999999999999995e-08,1.0000000000000000e+00,1,65534,3.5763130376816471e+06,1.0065965283653324e+00
9,9.9999999999999995e-08,1.0000000000000000e+00,1,65535,2.3436009861142906e+04,1.0065966296889894e+00
10,9.9999999999999995e-08,1.0000000000000000e+00,1,65536,1.5258789062500000e+02,1.0065967310126669e+00
11,9.9999999999999995e-08,1.0000000000000000e+00,2,65527,1.7643513829489109e+24,5.0164353463006162e-01
12,9.9999999999999995e-08,1.0000000000000000e+00,2,65528,5.7806326535246651e+21,5.0164355979468522e-01
13,9.9999999999999995e-08,1.0000000000000000e+00,2,65529,1.8939664826008211e+19,5.0164358495931127e-01
14,9.9999999999999995e-08,1.0000000000000000e+00,2,65530,6.2054864819174608e+16,5.0164361012393999e-01
15,9.9999999999999995e-08,1.0000000000000000e+00,2,65531,2.0332276458002506e+14,5.0164363528857114e-01
16,9.9999999999999995e-08,1.0000000000000000e+00,2,65532,6.6619720428418115e+11,5.0164366045320474e-01
17,9.9999999999999995e-08,1.0000000000000000e+00,2,65533,2.1828617590575480e+09,5.0164368561784101e-01
18,9.9999999999999995e-08,1.0000000000000000e+00,2,65534,7.1524734828159148e+06,5.0164371078247971e-01
19,9.9999999999999995e-08,1.0000000000000000e+00,2,65535,2.3436009861142906e+04,5.0164373594712097e-01
20,9.9999999999999995e-08,1.0000000000000000e+00,2,65536,1.5258789062500000e+02,1.0032875222235293e+00
21,9.9999999999999995e-08,1.0000000000000000e+00,3,65527,3.0145596750800013e+25,3.3406299369979714e-01
22,9.9999999999999995e-08,1.0000000000000000e+00,3,65528,6.5845017276322436e+22,3.3406300485960561e-01
23,9.9999999999999995e-08,1.0000000000000000e+00,3,65529,1.4382307640276183e+20,3.3406301601941468e-01
24,9.9999999999999995e-08,1.0000000000000000e+00,3,65530,3.1415274578655264e+17,3.3406302717922454e-01
25,9.9999999999999995e-08,1.0000000000000000e+00,3,65531,6.8621431437975950e+14,3.3406303833903511e-01
26,9.9999999999999995e-08,1.0000000000000000e+00,3,65532,1.4989436745203340e+12,3.3406304949884652e-01
27,9.9999999999999995e-08,1.0000000000000000e+00,3,65533,3.2742925622888846e+09,3.3406306065865865e-01
28,9.9999999999999995e-08,1.0000000000000000e+00,3,65534,7.1524734828159148e+06,3.3406307181847145e-01
29,9.9999999999999995e-08,1.0000000000000000e+00,3,65535,2.3436009861142906e+04,5.0109462446742759e-01
30,9.9999999999999995e-08,1.0000000000000000e+00,3,65536,1.5258789062500000e+02,1.0032839236214472e+00
31,9.9999999999999995e-08,1.0000000000000000e+01,1,65527,6.8514678955708565e+30,1.0006556896406328e-01
32,9.9999999999999995e-08,1.0000000000000000e+01,1,65528,4.4895613679307157e+27,1.0006556996537509e-01
33,9.9999999999999995e-08,1.0000000000000000e+01,1,65529,2.9419197731776397e+24,1.0006557096668692e-01
34,9.9999999999999995e-08,1.0000000000000000e+01,1,65530,1.9278106081655757e+21,1.0006557196799877e-01
35,9.9999999999999995e-08,1.0000000000000000e+01,1,65531,1.2632942915309018e+18,1.0006557296931062e-01
36,9.9999999999999995e-08,1.0000000000000000e+01,1,65532,8.2784938218311500e+14,1.0006557397062250e-01
37,9.9999999999999995e-08,1.0000000000000000e+01,1,65533,5.4250625713213885e+11,1.0006557497193443e-01
38,9.9999999999999995e-08,1.0000000000000000e+01,1,65534,3.5552062538640451e+08,1.0006557597324636e-01
39,9.9999999999999995e-08,1.0000000000000000e+01,1,65535,2.3298678664072635e+05,1.0006557697455831e-01
40,9.9999999999999995e-08,1.0000000000000000e+01,1,65536,1.5258789062500000e+02,1.0006557797587028e-01
41,9.9999999999999995e-08,1.0000000000000000e+01,2,65527,1.7539754044850035e+33,5.0016386868747847e-02
42,9.9999999999999995e-08,1.0000000000000000e+01,2,65528,5.7466373164844412e+29,5.0016387118911744e-02
43,9.9999999999999995e-08,1.0000000000000000e+01,2,65529,1.8828282503729626e+26,5.0016387369075641e-02
44,9.9999999999999995e-08,1.0000000000000000e+01,2,65530,6.1689926209344939e+22,5.0016387619239544e-02
45,9.9999999999999995e-08,1.0000000000000000e+01,2,65531,2.0212704322491867e+19,5.0016387869403441e-02
46,9.9999999999999995e-08,1.0000000000000000e+01,2,65532,6.6227936347860730e+15,5.0016388119567344e-02
47,9.9999999999999995e-08,1.0000000000000000e+01,2,65533,2.1700245623739543e+12,5.0016388369731254e-02
48,9.9999999999999995e-08,1.0000000000000000e+01,2,65534,7.1104109818026173e+08,5.0016388619895172e-02
49,9.9999999999999995e-08,1.0000000000000000e+01,2,65535,2.3298678664072635e+05,5.0016388870059082e-02
50,9.9999999999999995e-08,1.0000000000000000e+01,2,65536,1.5258789062500000e+02,1.0003277824044600e-01
51,9.9999999999999995e-08,1.0000000000000000e+01,3,65527,2.9968314136865154e+34,3.3340615590566343e-02
52,9.9999999999999995e-08,1.0000000000000000e+01,3,65528,6.5457790681545437e+30,3.3340615701726008e-02
53,9.9999999999999995e-08,1.0000000000000000e+01,3,65529,1.4297727025934366e+27,3.3340615812885672e-02
54,9.9999999999999995e-08,1.0000000000000000e+01,3,65530,3.1230525142748434e+23,3.3340615924045344e-02
55,9.9999999999999995e-08,1.0000000000000000e+01,3,65531,6.8217877086810161e+19,3.3340616035205009e-02
56,9.9999999999999995e-08,1.0000000000000000e+01,3,65532,1.4901285677919188e+16,3.3340616146364674e-02
57,9.9999999999999995e-08,1.0000000000000000e+01,3,65533,3.2550368434846343e+12,3.3340616257524346e-02
58,9.9999999999999995e-08,1.0000000000000000e+01,3,65534,7.1104109818026173e+08,3.3340616368684017e-02
59,9.9999999999999995e-08,1.0000000000000000e+01,3,65535,2.3298678664072635e+05,5.0010924719765530e-02
